Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ionotropic glutamate receptor pathway Homo sapiens P00037	2/45	0.09590387381174718	0.3703873747212305	0	0	3.831417624521073	8.982409592434843	VAMP8;SNAP23
5HT2 type receptor mediated signaling pathway Homo sapiens P04374	2/46	0.09952618134983839	0.37156441037272997	0	0	3.7481259370314843	8.64818043585415	VAMP8;SNAP23
FGF signaling pathway Homo sapiens P00021	3/99	0.10802668125751952	0.39028994518845767	0	0	2.6123301985370952	5.813419628235844	RAC2;PEBP1;PTPN6
Metabotropic glutamate receptor group III pathway Homo sapiens P00039	2/54	0.12975540055553847	0.45414390194438464	0	0	3.1928480204342273	6.520128145030735	VAMP8;SNAP23
Axon guidance mediated by semaphorins Homo sapiens P00007	1/17	0.1799845008406272	0.6108564877015227	0	0	5.070993914807302	8.696169058013485	RAC2
T cell activation Homo sapiens P00053	2/73	0.20767870461453625	0.6841180857890605	0	0	2.3618327822390177	3.712241575098278	JUN;HLA-DPA1
Alpha adrenergic receptor signaling pathway Homo sapiens P00002	1/23	0.23548030335230566	0.7535369707273781	0	0	3.7481259370314843	5.420269889780018	SNAP23
Oxidative stress response Homo sapiens P00046	1/24	0.24435892936879489	0.7602277802584729	0	0	3.5919540229885056	5.061483881388875	JUN
Adrenaline and noradrenaline biosynthesis Homo sapiens P00001	1/25	0.25313488404441176	0.766246135485787	0	0	3.4482758620689657	4.737354461403453	SNAP23
Interferon-gamma signaling pathway Homo sapiens P00035	1/28	0.2788584747695483	0.8218986624786687	0	0	3.0788177339901477	3.9318069111779397	PTPN6
Nicotine pharmacodynamics pathway Homo sapiens P06587	1/28	0.2788584747695483	0.8008243377997284	0	0	3.0788177339901477	3.9318069111779397	PPP1CA
5HT1 type receptor mediated signaling pathway Homo sapiens P04373	1/29	0.287235431468704	0.8042592081123712	0	0	2.972651605231867	3.708243403072918	SNAP23
Axon guidance mediated by netrin Homo sapiens P00009	1/30	0.2955154938047619	0.8072618367349593	0	0	2.873563218390805	3.502971295997401	RAC2
Alzheimer disease-presenilin pathway Homo sapiens P00004	2/99	0.3190840479194716	0.8508907944519242	0	0	1.741553465691397	1.9893778087747178	ACTB;ACTG1
EGF receptor signaling pathway Homo sapiens P00018	2/109	0.3613098955309784	0.9410862395225483	0	0	1.5817779183802596	1.610280374123901	RAC2;PEBP1
Toll receptor signaling pathway Homo sapiens P00054	1/49	0.4358372673709556	1.0	0	0	1.7593244194229416	1.4610949072472752	JUN
VEGF signaling pathway Homo sapiens P00056	1/54	0.4678880922093614	1.0	0	0	1.5964240102171137	1.212525751706279	RAC2
Angiogenesis Homo sapiens P00005	2/142	0.4920998988692381	1.0	0	0	1.2141816415735796	0.8609440706881797	JUN;RHOC
Cadherin signaling pathway Homo sapiens P00012	2/150	0.5212345279445639	1.0	0	0	1.149425287356322	0.7489140102414024	ACTB;ACTG1
CCKR signaling map ST Homo sapiens P06959	2/165	0.5727822781812276	1.0	0	0	1.044932079414838	0.5822879861481095	ITGB1;JUN
Interleukin signaling pathway Homo sapiens P00036	1/86	0.6341675641682093	1.0	0	0	1.0024057738572574	0.45653775327774015	IL4R
TGF-beta signaling pathway Homo sapiens P00052	1/88	0.6426420582649252	1.0	0	0	0.9796238244514107	0.4331577040501822	JUN
Apoptosis signaling pathway Homo sapiens P00006	1/102	0.6967343153054589	1.0	0	0	0.8451656524678838	0.30540155856688644	JUN
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway Homo sapiens P00027	1/106	0.7106334965959216	1.0	0	0	0.8132726089785296	0.27781266919112224	RASGRP3
PDGF signaling pathway Homo sapiens P00047	1/112	0.7303018185585306	1.0	0	0	0.7697044334975369	0.24191608698156905	JUN
